customer_id,recency,frequency,monetary,unique_sku_purchased,day_of_week,monthly_spending_mean,monthly_spending_std,spending_trend,cluster
1,344,1,16.29,2,4,16.29,0.0,0.0,1
2,196,2,22.77,2,2,11.385,5.112382027978739,7.23,2
3,364,1,10.92,3,5,10.92,0.0,0.0,1
4,53,2,33.29,5,1,16.645,14.078496013424163,19.91,2
5,180,5,78.82,2,0,19.705,14.349458758666358,-10.244,2
6,276,1,25.55,3,2,25.55,0.0,0.0,2
7,88,1,17.84,1,1,17.84,0.0,0.0,2
8,194,1,9.78,1,0,9.78,0.0,0.0,2
9,287,1,15.75,1,5,15.75,0.0,0.0,1
10,323,1,110.31,1,4,110.31,0.0,0.0,1
11,337,1,6.35,1,4,6.35,0.0,0.0,1
12,359,1,21.0,1,3,21.0,0.0,0.0,1
13,324,2,53.24,3,3,26.62,5.23259018078045,-7.399999999999999,1
14,289,4,308.43,8,3,102.81,98.4612497381584,98.395,0
15,357,1,3.82,1,5,3.82,0.0,0.0,1
16,258,2,62.160000000000004,2,0,31.080000000000002,15.528064914856584,21.96,2
17,355,2,31.84,3,2,31.84,0.0,0.0,2
18,346,1,1.9,1,2,1.9,0.0,0.0,2
19,263,1,99.94999999999999,2,1,99.94999999999999,0.0,0.0,2
20,303,4,28.25,3,6,9.416666666666666,3.427190297216268,-3.0,1
21,288,1,9.35,1,4,9.35,0.0,0.0,1
22,351,1,6.75,1,4,6.75,0.0,0.0,1
23,102,1,1.84,1,1,1.84,0.0,0.0,2
24,323,2,57.17,4,4,28.585,33.00067347797617,46.67,1
25,310,2,7.98,3,3,3.99,2.8142849891224597,3.9800000000000004,1
26,274,4,100.87,11,4,25.2175,26.752143060572426,-19.235,1
27,130,1,14.629999999999999,2,1,14.629999999999999,0.0,0.0,2
28,343,1,28.69,2,5,28.69,0.0,0.0,1
29,269,1,13.83,1,2,13.83,0.0,0.0,2
30,259,2,86.26,7,6,43.129999999999995,21.80717313179312,-30.839999999999996,1
31,286,1,7.16,2,6,7.16,0.0,0.0,1
32,253,2,5.3100000000000005,1,1,2.6550000000000002,1.2515790027001892,-1.77,2
33,278,2,56.21,6,0,28.105,18.03829398806883,25.509999999999998,2
34,285,1,6.35,1,0,6.35,0.0,0.0,2
35,341,1,4.71,1,0,4.71,0.0,0.0,2
36,263,1,112.9,5,1,112.9,0.0,0.0,2
37,334,1,2.49,1,0,2.49,0.0,0.0,2
38,184,2,12.620000000000001,2,3,12.620000000000001,0.0,0.0,1
39,358,1,10.98,1,4,10.98,0.0,0.0,1
40,331,1,141.87,8,3,141.87,0.0,0.0,1
41,354,1,22.03,4,1,22.03,0.0,0.0,2
42,100,2,30.349999999999998,3,3,15.175,10.35911434438292,14.65,1
43,263,2,36.31,6,1,18.155,2.3688077169749313,3.349999999999998,2
44,94,7,152.76,17,3,25.459999999999997,11.5072411984802,1.8114285714285705,1
45,201,2,57.22,4,6,57.22,0.0,0.0,1
46,273,3,100.72,7,1,33.57333333333333,44.996041307356506,3.64,2
47,130,4,18.919999999999998,3,4,6.306666666666666,2.905793064437544,-2.8599999999999994,1
48,284,2,259.96,8,3,129.98,141.61934613604174,-200.28,0
49,291,1,12.34,2,1,12.34,0.0,0.0,2
50,334,3,35.59,5,3,17.795,21.12127955404218,-29.870000000000005,1
51,308,2,40.85,2,0,20.425,7.459976541518075,10.549999999999999,2
52,310,4,17.93,4,3,8.965,9.694433970067568,13.71,1
53,276,1,8.65,1,2,8.65,0.0,0.0,2
54,257,2,15.96,3,3,7.98,4.822468247692254,-6.82,1
55,297,2,26.959999999999997,2,1,13.479999999999999,17.338258274694144,-24.519999999999996,2
56,300,2,10.83,3,6,5.415,1.8879751057680818,-2.67,1
57,274,4,50.64,5,1,25.32,13.420886706920674,-18.980000000000004,2
58,331,1,5.79,1,3,5.79,0.0,0.0,1
59,287,2,11.399999999999999,3,6,11.399999999999999,0.0,0.0,1
60,362,1,6.24,1,0,6.24,0.0,0.0,2
61,308,1,12.42,2,5,12.42,0.0,0.0,1
62,281,1,12.610000000000001,2,4,12.610000000000001,0.0,0.0,1
63,302,2,48.42,8,5,24.21,12.00667314454758,-16.980000000000004,1
64,308,1,176.37,1,5,176.37,0.0,0.0,1
65,270,4,72.16,10,3,24.05333333333333,26.532904728531577,-2.450000000000001,1
66,296,1,23.83,2,3,23.83,0.0,0.0,1
