customer_id,gender,age,country
2547,M,43,Greece
822,M,42,Spain
3686,F,39,France
3719,F,30,Italy
9200,F,31,Italy
5010,M,20,Italy
1666,M,33,Germany
1253,F,45,Greece
5541,F,25,Italy
7548,F,31,Germany
6865,M,36,Germany
6044,F,31,Germany
592,F,34,Germany
6450,F,36,Germany
3874,M,37,France
5599,F,36,Germany
9223,F,37,France
4921,F,39,France
6294,M,30,Italy
5780,F,27,Italy
2116,F,39,France
3624,F,39,France
5058,F,36,Germany
4736,M,35,Germany
3071,F,22,Italy
2065,M,41,Spain
8566,F,29,Italy
8303,F,31,Germany
4776,F,26,Italy
6459,M,38,France
2546,F,38,France
1595,F,40,UK
4022,F,28,Italy
2438,M,35,Germany
6179,F,40,UK
4316,F,34,Germany
3391,F,50,Netherlands
1655,F,40,UK
3883,F,37,France
6797,F,34,Germany
8521,M,32,Germany
2476,F,32,Germany
824,F,48,Netherlands
3785,M,22,Italy
1098,F,37,France
6112,F,42,Spain
8515,M,39,France
708,F,33,Germany
5097,F,32,Germany
8473,M,34,Germany
9011,M,32,Germany
4720,M,20,Italy
4414,M,36,Germany
2125,F,37,France
2562,M,30,Italy
473,M,19,Italy
9113,F,32,Germany
7096,F,32,Germany
3708,F,38,France
1794,M,31,Germany
8537,F,39,France
3992,M,31,Germany
7488,F,38,France
4604,F,29,Italy
9108,F,49,Netherlands
4783,M,49,Netherlands
2988,F,33,Germany
5373,M,29,Italy
1765,F,31,Germany
5852,M,48,Netherlands
4948,F,27,Italy
4530,F,37,France
4122,F,34,Germany
981,F,29,Italy
9628,F,41,Spain
8048,M,35,Germany
8470,F,42,Spain
6891,M,43,Greece
6268,M,33,Germany
3588,M,39,France
178,F,32,Germany
5721,F,40,UK
1725,F,24,Italy
8541,F,43,Greece
6994,F,33,Germany
2844,F,28,Italy
3,F,40,UK
427,F,41,Spain
3235,M,40,UK
4670,F,41,Spain
957,F,26,Italy
7408,M,47,Netherlands
6523,M,39,France
4803,F,32,Germany
2826,F,35,Germany
4332,F,30,Italy
3131,F,32,Germany
7141,F,34,Germany
5948,M,48,Netherlands
6848,F,45,Greece
1585,M,34,Germany
1908,M,30,Italy
195,F,37,France
5204,M,19,Italy
2530,F,49,Netherlands
7355,F,30,Italy
3764,F,34,Germany
7443,M,35,Germany
4839,M,48,Netherlands
3011,M,26,Italy
1659,M,31,Germany
8288,F,29,Italy
5170,F,31,Germany
4817,F,34,Germany
7126,M,27,Italy
1577,F,41,Spain
3592,F,29,Italy
2617,M,32,Germany
1614,F,18,Italy
8814,F,19,Italy
6901,F,46,Greece
454,M,38,France
3610,F,42,Spain
5293,M,32,Germany
5219,F,38,France
2285,F,32,Germany
6874,F,35,Germany
6045,F,35,Germany
343,F,35,Germany
8635,F,32,Germany
399,F,26,Italy
1891,F,39,France
5778,F,26,Italy
3156,M,45,Greece
3180,F,31,Germany
131,F,30,Italy
3530,F,23,Italy
692,F,41,Spain
3376,M,24,Italy
2223,F,47,Netherlands
6806,F,36,Germany
4993,F,34,Germany
6854,M,30,Italy
4775,F,31,Italy
6727,F,30,Italy
191,F,38,France
2422,M,39,France
8553,F,48,Netherlands
6504,F,31,Italy
8907,F,29,Italy
1284,F,45,Greece
3724,M,44,Greece
1762,M,40,UK
5034,M,35,Germany
9251,M,39,France
3837,M,27,Italy
6701,F,40,UK
2257,F,25,Italy
1128,F,35,Germany
8417,M,40,UK
1894,M,37,France
8308,F,32,Germany
3695,F,35,Germany
3848,M,18,Italy
7077,M,34,Germany
6422,M,42,Spain
4046,M,23,Italy
3827,F,27,Italy
3913,F,29,Italy
3226,F,34,Germany
2057,M,38,France
1906,F,49,Netherlands
100,M,25,Italy
6918,F,24,Italy
7002,M,30,Italy
3524,F,55,Netherlands
4289,F,34,Germany
5738,M,38,France
8218,F,41,Spain
3065,M,35,Germany
2340,F,36,Germany
2767,F,32,Germany
275,M,26,Italy
5080,M,40,UK
2649,M,50,Netherlands
841,F,35,Germany
3317,F,37,France
6471,M,42,Spain
2978,M,45,Greece
9157,M,31,Germany
4421,M,54,Netherlands
1862,F,25,Italy
2132,F,44,Greece
2686,F,47,Netherlands
6325,M,36,Germany
7945,F,39,France
6587,F,40,UK
1660,M,32,Germany
1134,M,31,Germany
3645,F,35,Germany
9340,F,25,Italy
8356,F,30,Italy
8858,F,41,UK
7304,F,31,Germany
5475,F,38,France
2400,M,41,Spain
1863,M,28,Italy
3006,M,22,Italy
9583,M,28,Italy
7257,F,34,Germany
8636,F,29,Italy
3543,F,31,Germany
911,M,27,Italy
6192,M,44,Greece
6343,F,44,Greece
2883,F,41,Spain
2477,M,37,France
6887,F,32,Germany
6723,F,38,France
2822,F,25,Italy
4815,F,31,Germany
3344,F,39,France
6843,F,34,Germany
