customer_id,recency,frequency,monetary,cluster
1,344,1,15,0
2,196,2,22,0
3,364,1,10,0
4,53,2,31,1
5,180,5,78,0
6,276,1,24,0
7,88,1,17,1
8,194,1,9,0
9,287,1,15,0
10,323,1,110,0
11,337,1,6,0
12,359,1,21,0
13,324,2,52,0
14,289,4,304,0
15,357,1,3,0
16,258,2,62,0
17,355,2,30,0
18,346,1,1,0
19,263,1,99,0
20,303,4,26,0
21,288,1,9,0
22,351,1,6,0
23,102,1,1,1
24,323,2,56,0
25,310,2,7,0
26,274,4,96,0
27,130,1,14,1
28,343,1,27,0
29,269,1,13,0
30,259,2,82,0
31,286,1,6,0
32,253,2,4,0
33,278,2,54,0
34,285,1,6,0
35,341,1,4,0
36,263,1,110,0
37,334,1,2,0
38,184,2,11,0
39,358,1,10,0
40,331,1,138,0
41,354,1,20,0
42,100,2,29,1
43,263,2,33,0
44,94,7,143,1
45,201,2,56,0
46,273,3,98,0
47,130,4,17,1
48,284,2,255,0
49,291,1,11,0
50,334,3,32,0
51,308,2,40,0
52,310,4,16,0
53,276,1,8,0
54,257,2,15,0
55,297,2,26,0
56,300,2,10,0
57,274,4,47,0
58,331,1,5,0
59,287,2,10,0
60,362,1,6,0
61,308,1,11,0
62,281,1,12,0
63,302,2,45,0
64,308,1,176,0
65,270,4,67,0
66,296,1,23,0
67,199,1,84,0
68,300,1,16,0
69,345,1,11,0
70,353,1,53,0
71,257,1,11,0
72,318,1,13,0
73,317,1,2,0
74,316,2,53,0
75,347,1,64,0
76,286,1,16,0
77,153,1,23,1
78,358,1,84,0
79,330,1,9,0
80,351,1,11,0
81,311,1,5,0
82,171,1,12,0
83,319,2,44,0
84,135,6,28,1
85,262,1,40,0
86,350,1,6,0
87,162,1,14,1
88,347,1,15,0
89,284,1,14,0
90,293,1,4,0
91,317,4,83,0
92,295,1,3,0
93,323,3,137,0
94,341,3,20,0
95,271,5,92,0
96,276,1,96,0
97,323,2,24,0
98,271,1,4,0
99,196,7,92,0
100,363,1,12,0
101,100,2,28,1
102,322,1,34,0
103,331,1,8,0
104,331,3,38,0
105,286,2,228,0
106,316,2,14,0
107,350,1,39,0
108,94,2,17,1
109,303,6,451,3
110,276,1,13,0
111,344,1,5,0
112,289,6,443,3
113,177,2,35,0
114,241,1,8,0
115,119,1,37,1
116,254,1,11,0
117,360,1,4,0
118,216,2,123,0
119,269,2,26,0
120,313,1,3,0
121,328,1,14,0
122,241,2,28,0
123,291,2,33,0
124,361,1,63,0
125,300,1,7,0
126,234,1,5,0
127,332,1,11,0
128,277,3,33,0
129,357,1,7,0
130,307,2,13,0
131,342,4,187,0
132,263,1,3,0
133,360,1,15,0
134,338,1,14,0
135,150,1,21,1
136,297,2,18,0
137,354,1,22,0
138,235,2,5,0
139,316,1,6,0
140,252,4,71,0
141,317,1,9,0
142,346,1,10,0
143,336,2,16,0
144,360,1,6,0
145,358,1,40,0
146,346,1,7,0
147,340,1,16,0
148,250,1,10,0
149,205,2,20,0
150,33,1,3,1
151,232,1,20,0
152,239,1,5,0
153,310,2,38,0
154,290,1,1,0
155,115,1,39,1
156,146,1,95,1
157,195,1,2,0
158,323,2,15,0
159,334,1,43,0
160,310,1,14,0
161,255,1,6,0
162,354,1,68,0
163,137,1,18,1
164,338,1,5,0
165,271,7,343,3
166,309,1,2,0
167,271,3,54,0
168,303,1,53,0
169,320,1,13,0
170,337,2,8,0
171,333,1,9,0
172,288,1,2,0
173,284,1,70,0
174,97,3,632,3
175,198,1,5,0
176,339,3,9,0
177,143,1,26,1
178,364,1,58,0
179,211,2,87,0
180,354,1,60,0
181,309,3,273,0
182,332,1,181,0
183,264,5,61,0
184,289,1,2,0
185,319,1,48,0
186,281,4,64,0
187,321,1,5,0
188,286,3,228,0
189,274,1,30,0
190,299,1,45,0
191,363,1,4,0
192,159,1,5,1
193,327,4,117,0
194,350,1,13,0
195,364,1,12,0
196,353,1,62,0
197,308,2,21,0
198,325,2,189,0
199,355,1,25,0
200,330,1,16,0
201,293,2,22,0
202,339,2,211,0
203,327,1,6,0
204,318,1,7,0
205,296,3,46,0
206,265,1,7,0
207,274,1,6,0
208,147,4,46,1
209,34,1,12,1
210,273,4,279,0
211,139,1,11,1
212,289,1,25,0
213,185,4,108,0
214,230,2,48,0
215,238,1,12,0
216,358,1,2,0
217,123,6,257,3
218,309,2,24,0
219,356,1,7,0
220,320,1,12,0
221,127,4,35,1
222,136,6,32,1
223,157,2,8,1
224,287,2,20,0
225,299,1,15,0
226,288,3,79,0
227,327,1,2,0
228,283,4,102,0
229,354,1,14,0
230,320,1,115,0
231,251,2,27,0
232,347,1,538,0
233,256,1,6,0
234,355,1,12,0
235,331,1,20,0
236,98,2,21,1
237,235,2,11,0
238,188,2,3,0
239,260,1,18,0
240,337,1,36,0
241,333,1,17,0
242,320,1,41,0
243,267,1,22,0
244,250,1,11,0
245,304,3,640,3
246,285,3,34,0
247,182,1,7,0
248,284,1,1,0
249,302,2,12,0
250,271,1,84,0
251,148,2,18,1
252,314,1,7,0
253,309,1,42,0
254,221,1,27,0
255,233,1,3,0
256,317,1,59,0
257,333,1,82,0
258,326,1,7,0
259,277,2,70,0
260,281,5,42,0
261,142,1,15,1
262,272,3,162,0
263,267,4,105,0
264,305,1,19,0
265,32,3,21,1
266,286,7,545,3
267,313,2,172,0
268,260,1,6,0
269,360,1,10,0
270,334,1,7,0
271,281,1,10,0
272,340,1,14,0
273,354,1,4,0
274,303,6,188,0
275,297,13,121,3
276,172,1,7,0
277,344,1,4,0
278,206,1,11,0
279,298,4,98,0
280,330,1,9,0
281,290,1,7,0
282,271,8,143,0
283,329,1,17,0
284,287,2,9,0
285,250,2,11,0
286,297,2,12,0
287,248,1,6,0
288,249,8,58,0
289,289,6,42,0
290,296,1,16,0
291,324,1,5,0
292,290,1,15,0
293,122,2,21,1
294,334,1,8,0
295,355,1,12,0
296,258,2,71,0
297,307,1,72,0
298,186,2,20,0
299,358,1,10,0
300,337,1,5,0
301,295,3,100,0
302,330,2,28,0
303,283,1,10,0
304,354,1,34,0
305,285,1,46,0
306,178,1,44,0
307,355,1,7,0
308,138,7,166,3
309,199,1,4,0
310,20,1,13,1
311,299,1,50,0
312,338,3,77,0
313,337,1,10,0
314,181,2,7,0
315,278,1,19,0
316,350,1,10,0
317,292,1,14,0
318,349,1,45,0
319,337,1,212,0
320,339,1,90,0
321,316,1,7,0
322,307,2,78,0
323,281,1,15,0
324,303,1,24,0
325,300,2,45,0
326,270,1,14,0
327,324,1,12,0
328,206,2,83,0
