Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
344,1,16.29,1,1,2,112
196,2,22.77,2,3,2,232
364,1,10.92,1,1,2,112
53,2,33.29,3,3,3,333
180,5,78.82,2,4,4,244
276,1,25.55,1,1,3,113
88,1,17.84,3,1,2,312
194,1,9.78,2,1,1,211
287,1,15.75,1,1,2,112
323,1,110.31,1,1,4,114
337,1,6.35,1,1,1,111
359,1,21.0,1,1,2,112
324,2,53.24,1,3,3,133
289,4,308.43,1,4,4,144
357,1,3.82,1,1,1,111
258,2,62.160000000000004,2,3,3,233
355,2,31.84,1,3,3,133
346,1,1.9,1,1,1,111
263,1,99.94999999999999,2,1,4,214
303,4,28.25,1,4,3,143
288,1,9.35,1,1,1,111
351,1,6.75,1,1,1,111
102,1,1.84,3,1,1,311
323,2,57.17,1,3,3,133
310,2,7.98,1,3,1,131
274,4,100.87,1,4,4,144
130,1,14.629999999999999,3,1,2,312
343,1,28.69,1,1,3,113
269,1,13.83,2,1,2,212
259,2,86.26,2,3,4,234
286,1,7.16,1,1,1,111
253,2,5.3100000000000005,2,3,1,231
278,2,56.21,1,3,3,133
285,1,6.35,1,1,1,111
341,1,4.71,1,1,1,111
263,1,112.9,2,1,4,214
334,1,2.49,1,1,1,111
184,2,12.620000000000001,2,3,2,232
358,1,10.98,1,1,2,112
331,1,141.87,1,1,4,114
354,1,22.03,1,1,2,112
100,2,30.349999999999998,3,3,3,333
263,2,36.31,2,3,3,233
94,7,152.76,3,4,4,344
201,2,57.22,2,3,3,233
273,3,100.72,1,3,4,134
130,4,18.919999999999998,3,4,2,342
284,2,259.96,1,3,4,134
291,1,12.34,1,1,2,112
334,3,35.59,1,3,3,133
308,2,40.85,1,3,3,133
310,4,17.93,1,4,2,142
276,1,8.65,1,1,1,111
257,2,15.96,2,3,2,232
297,2,26.959999999999997,1,3,3,133
300,2,10.83,1,3,2,132
274,4,50.64,1,4,3,143
331,1,5.79,1,1,1,111
287,2,11.399999999999999,1,3,2,132
362,1,6.24,1,1,1,111
