customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
1,344,1,16.29,1,1,2,112
2,196,2,22.77,2,3,2,232
3,364,1,10.92,1,1,2,112
4,53,2,33.29,3,3,3,333
5,180,5,78.82,2,4,4,244
6,276,1,25.55,1,1,3,113
7,88,1,17.84,3,1,2,312
8,194,1,9.78,2,1,1,211
9,287,1,15.75,1,1,2,112
10,323,1,110.31,1,1,4,114
11,337,1,6.35,1,1,1,111
12,359,1,21.0,1,1,2,112
13,324,2,53.24,1,3,3,133
14,289,4,308.43,1,4,4,144
15,357,1,3.82,1,1,1,111
16,258,2,62.160000000000004,2,3,3,233
17,355,2,31.84,1,3,3,133
18,346,1,1.9,1,1,1,111
19,263,1,99.94999999999999,2,1,4,214
20,303,4,28.25,1,4,3,143
21,288,1,9.35,1,1,1,111
22,351,1,6.75,1,1,1,111
23,102,1,1.84,3,1,1,311
24,323,2,57.17,1,3,3,133
25,310,2,7.98,1,3,1,131
26,274,4,100.87,1,4,4,144
27,130,1,14.629999999999999,3,1,2,312
28,343,1,28.69,1,1,3,113
29,269,1,13.83,2,1,2,212
30,259,2,86.26,2,3,4,234
31,286,1,7.16,1,1,1,111
32,253,2,5.3100000000000005,2,3,1,231
33,278,2,56.21,1,3,3,133
34,285,1,6.35,1,1,1,111
35,341,1,4.71,1,1,1,111
36,263,1,112.9,2,1,4,214
37,334,1,2.49,1,1,1,111
38,184,2,12.620000000000001,2,3,2,232
39,358,1,10.98,1,1,2,112
40,331,1,141.87,1,1,4,114
41,354,1,22.03,1,1,2,112
42,100,2,30.349999999999998,3,3,3,333
43,263,2,36.31,2,3,3,233
44,94,7,152.76,3,4,4,344
45,201,2,57.22,2,3,3,233
46,273,3,100.72,1,3,4,134
47,130,4,18.919999999999998,3,4,2,342
48,284,2,259.96,1,3,4,134
49,291,1,12.34,1,1,2,112
50,334,3,35.59,1,3,3,133
51,308,2,40.85,1,3,3,133
52,310,4,17.93,1,4,2,142
53,276,1,8.65,1,1,1,111
54,257,2,15.96,2,3,2,232
55,297,2,26.959999999999997,1,3,3,133
56,300,2,10.83,1,3,2,132
57,274,4,50.64,1,4,3,143
58,331,1,5.79,1,1,1,111
59,287,2,11.399999999999999,1,3,2,132
60,362,1,6.24,1,1,1,111
61,308,1,12.42,1,1,2,112
62,281,1,12.610000000000001,1,1,2,112
63,302,2,48.42,1,3,3,133
64,308,1,176.37,1,1,4,114
65,270,4,72.16,2,4,4,244
66,296,1,23.83,1,1,2,112
67,199,1,86.42,2,1,4,214
68,300,1,16.91,1,1,2,112
69,345,1,12.18,1,1,2,112
70,353,1,55.15,1,1,3,113
71,257,1,12.510000000000002,2,1,2,212
72,318,1,13.68,1,1,2,112
73,317,1,2.11,1,1,1,111
74,316,2,55.31,1,3,3,133
75,347,1,66.85,1,1,4,114
76,286,1,16.37,1,1,2,112
77,153,1,25.12,2,1,3,213
78,358,1,85.91,1,1,4,114
79,330,1,10.950000000000001,1,1,2,112
80,351,1,11.37,1,1,2,112
81,311,1,5.59,1,1,1,111
